if_name;first_name;last_name;class;schoolyear;branch
IF210122;Anna;Berger;2BHIF;2022/23;Informatik
IF210122;Anna;Berger;3BHIF;2023/24;Informatik
IF210122;Anna;Berger;4BHIF;2024/25;Informatik
IF210122;Anna;Berger;5BHIF;2025/26;Informatik
IF220184;Lukas;Steiner;1AHIF;2022/23;Informatik
IF220184;Lukas;Steiner;2AHIF;2023/24;Informatik
IF220184;Lukas;Steiner;3AHIF;2024/25;Informatik
IF230045;Mia;Hofer;1BHIF;2023/24;Informatik
IF230045;Mia;Hofer;2BHIF;2024/25;Informatik
IF230045;Mia;Hofer;3BHIF;2025/26;Informatik
IF240301;Noah;Fischer;1CHIF;2024/25;Informatik
IF240301;Noah;Fischer;2CHIF;2025/26;Informatik
IF250077;Emma;Leitner;1AHIF;2025/26;Informatik
IF250188;Felix;Wagner;1BHIF;2025/26;Informatik
IF260092;Sarah;Mayer;1AHIF;2026/27;Informatik
IF260215;David;Schmid;1CHIF;2026/27;Informatik
MF05213;Laura;Gruber;1AHITM;2022/23;Medientechnik
MF05213;Laura;Gruber;2AHITM;2023/24;Medientechnik
MF05213;Laura;Gruber;3AHITM;2024/25;Medientechnik
MF05213;Laura;Gruber;4AHITM;2025/26;Medientechnik
MF06144;Simon;Bauer;2CHITM;2023/24;Medientechnik
MF06144;Simon;Bauer;3CHITM;2024/25;Medientechnik
MF06144;Simon;Bauer;4CHITM;2025/26;Medientechnik
MF07198;Sophie;Klein;1BHITM;2024/25;Medientechnik
MF07198;Sophie;Klein;2BHITM;2025/26;Medientechnik
MF08302;Jonas;Huber;1CHITM;2025/26;Medientechnik
MF09411;Lena;Pichler;1AHITM;2026/27;Medientechnik
MF09486;Tobias;Koller;1BHITM;2026/27;Medientechnik
EF9521321;Martin;Weber;1AHEL;2022/23;Eletronik
EF9521321;Martin;Weber;2AHEL;2023/24;Eletronik
EF9521321;Martin;Weber;3AHEL;2024/25;Eletronik
EF9521321;Martin;Weber;4AHEL;2025/26;Eletronik
EF8432105;Nina;Wolf;1BHEL;2023/24;Eletronik
EF8432105;Nina;Wolf;2BHEL;2024/25;Eletronik
EF8432105;Nina;Wolf;3BHEL;2025/26;Eletronik
EF7712044;Paul;Eder;1AHEL;2024/25;Eletronik
EF7712044;Paul;Eder;2AHEL;2025/26;Eletronik
EF6613902;Julia;Reiter;1CHEL;2025/26;Eletronik
EF5508711;Max;Binder;1AHEL;2026/27;Eletronik
EF5509824;Marie;Fuchs;1BHEL;2026/27;Eletronik
